,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,sqft_lot15,geo_loc,distance
11056,870000.0,4,2.5,3340,12248,2.0,0.0,1.0,3,9,1998,98126,47.586,-122.379,5679,"(47.586, -122.379)",2.7875
11057,299000.0,2,1.0,710,6732,1.0,0.0,0.0,5,6,1942,98126,47.515,-122.372,6720,"(47.515, -122.372)",7.4465
11058,527000.0,3,2.25,2240,6450,1.0,0.0,0.0,3,7,1979,98125,47.703,-122.315,6450,"(47.703, -122.315)",5.8579
11060,290000.0,3,2.5,2360,8764,2.0,0.0,0.0,3,8,1991,98022,47.211,-122.009,8746,"(47.211, -122.009)",32.5995
11062,499990.0,3,1.75,1730,9334,1.0,0.0,0.0,3,8,1977,98052,47.648,-122.113,10000,"(47.648, -122.113)",11.2589
11063,315000.0,3,1.75,1170,4000,1.0,0.0,0.0,3,6,1943,98106,47.531,-122.354,4000,"(47.531, -122.354)",6.2815
11065,630000.0,3,2.5,2900,46609,2.0,0.0,0.0,3,9,1987,98077,47.773,-122.086,42188,"(47.773, -122.086)",16.1759
11067,774000.0,4,2.75,2010,7000,2.0,0.0,0.0,5,8,1901,98199,47.661,-122.396,4400,"(47.661, -122.396)",3.3987
11068,368888.0,3,1.5,1490,12186,1.0,0.0,0.0,4,7,1950,98155,47.774,-122.322,14285,"(47.774, -122.322)",10.5995
11069,339500.0,4,2.5,1930,7862,2.0,0.0,0.0,3,7,1994,98038,47.364,-122.04,9145,"(47.364, -122.04)",23.006
11070,344950.0,4,1.75,2240,7500,1.0,0.0,0.0,4,7,1956,98133,47.747,-122.34,7500,"(47.747, -122.34)",8.6607
11071,450000.0,3,2.0,2320,17688,1.0,0.0,0.0,3,8,1952,98166,47.452,-122.363,14482,"(47.452, -122.363)",11.7508
11072,814950.0,4,2.75,2990,6626,2.0,0.0,0.0,3,9,2014,98052,47.711,-122.11,5533,"(47.711, -122.11)",12.8211
11073,299900.0,4,2.5,2200,5730,2.0,0.0,0.0,3,8,2003,98042,47.348,-122.153,5772,"(47.348, -122.153)",21.0765
11074,315000.0,3,2.0,1500,7828,1.0,0.0,0.0,4,7,1967,98058,47.448,-122.158,7700,"(47.448, -122.158)",15.0337
11075,880000.0,3,1.75,3860,9000,1.0,0.0,2.0,3,9,1970,98155,47.743,-122.29,9000,"(47.743, -122.29)",8.8458
11076,195000.0,3,1.5,1430,5200,1.0,0.0,0.0,4,7,1977,98042,47.364,-122.094,5200,"(47.364, -122.094)",21.5003
11077,910000.0,5,2.75,3750,8279,2.0,0.0,0.0,3,9,2001,98074,47.604,-122.06,8279,"(47.604, -122.06)",13.6431
11079,306000.0,3,2.5,1870,5874,2.0,0.0,0.0,3,7,2005,98042,47.399,-122.163,4060,"(47.399, -122.163)",17.741
11080,272000.0,4,2.25,2040,7600,1.0,0.0,0.0,4,8,1978,98023,47.317,-122.365,7200,"(47.317, -122.365)",21.0757
11082,450000.0,3,1.75,3150,9258,1.0,0.0,1.0,3,8,1970,98027,47.557,-122.08,10274,"(47.557, -122.08)",13.4316
11083,450000.0,3,2.5,1990,12793,2.0,0.0,0.0,3,8,1993,98028,47.735,-122.226,9035,"(47.735, -122.226)",9.7601
11084,310000.0,4,1.0,1740,11075,1.5,0.0,0.0,3,7,1965,98133,47.746,-122.334,7684,"(47.746, -122.334)",8.6139
11085,530000.0,2,2.25,2080,11285,1.0,0.0,0.0,4,8,1954,98042,47.363,-122.147,13048,"(47.363, -122.147)",20.281
11086,435000.0,4,2.5,2060,10125,2.0,0.0,0.0,4,7,1979,98028,47.764,-122.262,9876,"(47.764, -122.262)",10.6677
11089,305000.0,4,2.5,1620,4000,2.0,0.0,0.0,3,7,2008,98038,47.366,-122.02,3780,"(47.366, -122.02)",23.5033
11090,300000.0,3,1.75,1210,7000,1.0,0.0,0.0,3,7,1975,98058,47.457,-122.169,7000,"(47.457, -122.169)",14.2279
11091,289950.0,4,3.0,2040,5050,1.0,0.0,0.0,3,8,1993,98092,47.327,-122.175,6118,"(47.327, -122.175)",21.9833
11092,575000.0,3,2.5,2270,9600,2.0,0.0,0.0,3,9,1990,98011,47.739,-122.206,9617,"(47.739, -122.206)",10.5546
11094,219000.0,3,1.5,1060,9600,1.0,0.0,0.0,4,7,1962,98023,47.323,-122.348,9600,"(47.323, -122.348)",20.6527
11095,265000.0,4,3.0,1940,8170,1.0,0.0,0.0,4,7,1948,98155,47.738,-122.302,8169,"(47.738, -122.302)",8.3483
11097,200000.0,3,1.0,930,7590,1.0,0.0,0.0,3,6,1943,98166,47.48,-122.335,7590,"(47.48, -122.335)",9.8352
11098,545000.0,4,2.75,2180,8480,1.0,0.0,3.0,4,7,1959,98146,47.496,-122.366,8497,"(47.496, -122.366)",8.7244
11099,378000.0,3,2.5,2130,8404,2.0,0.0,0.0,3,8,1991,98058,47.462,-122.13,8404,"(47.462, -122.13)",15.1322
11100,388000.0,2,1.75,800,4800,1.0,0.0,0.0,4,6,1922,98136,47.556,-122.396,5000,"(47.556, -122.396)",4.9994
11102,536000.0,2,1.5,1130,746,2.0,0.0,0.0,3,8,2009,98107,47.668,-122.363,1519,"(47.668, -122.363)",3.2283
11103,1180000.0,3,2.5,1970,23180,1.0,1.0,4.0,3,8,1937,98136,47.55,-122.398,34689,"(47.55, -122.398)",5.4162
11105,465000.0,4,1.75,1470,5350,1.0,0.0,0.0,3,7,1955,98125,47.705,-122.315,6138,"(47.705, -122.315)",5.9903
11106,545000.0,4,2.25,2390,40510,1.0,0.0,0.0,4,8,1969,98072,47.757,-122.113,36989,"(47.757, -122.113)",14.5047
11107,592000.0,4,2.5,2300,11165,2.0,0.0,0.0,4,8,1979,98008,47.579,-122.118,11165,"(47.579, -122.118)",11.2842
11108,446000.0,4,2.0,2280,43692,1.0,0.0,0.0,3,7,1957,98038,47.407,-122.03,37938,"(47.407, -122.03)",21.1149
11110,632500.0,5,2.5,2640,7096,2.0,0.0,0.0,3,7,2003,98053,47.683,-122.038,4850,"(47.683, -122.038)",15.1986
11113,255000.0,3,1.0,1440,11330,1.0,0.0,0.0,3,7,1965,98168,47.474,-122.265,10100,"(47.474, -122.265)",10.9898
11114,251750.0,3,2.0,1320,7200,1.0,0.0,0.0,5,7,1975,98031,47.395,-122.174,7200,"(47.395, -122.174)",17.7358
11115,725000.0,3,2.5,2810,6300,2.0,0.0,0.0,3,8,2001,98074,47.608,-122.02,6630,"(47.608, -122.02)",15.4792
11116,460000.0,3,3.25,1370,1194,3.0,0.0,0.0,3,8,2005,98107,47.67,-122.391,1217,"(47.67, -122.391)",3.7936
11118,530000.0,3,1.75,1980,6760,1.0,0.0,0.0,4,8,1973,98008,47.64,-122.113,7280,"(47.64, -122.113)",11.1846
11119,394950.0,3,2.5,2050,8172,2.0,0.0,0.0,3,8,2002,98168,47.481,-122.28,5664,"(47.481, -122.28)",10.2934
11120,324950.0,4,1.75,2320,9240,1.0,0.0,0.0,3,7,1959,98178,47.491,-122.257,7320,"(47.491, -122.257)",10.0647
11121,330000.0,3,2.25,1960,1985,2.0,0.0,0.0,3,7,2003,98118,47.542,-122.289,1985,"(47.542, -122.289)",6.2463
11122,220000.0,4,1.75,1910,8171,1.0,0.0,0.0,3,7,1986,98030,47.35,-122.168,7542,"(47.35, -122.168)",20.6519
11123,685000.0,3,3.25,2030,11070,2.0,0.0,0.0,4,8,1980,98052,47.648,-122.117,11070,"(47.648, -122.117)",11.0751
11124,500000.0,3,2.25,2210,7680,1.0,0.0,2.0,3,8,1972,98177,47.773,-122.389,7680,"(47.773, -122.389)",10.5831
11126,825000.0,3,2.25,2520,7975,2.0,0.0,0.0,4,9,1990,98033,47.67,-122.183,9900,"(47.67, -122.183)",8.5271
11127,660000.0,6,1.75,1840,2774,1.0,0.0,0.0,3,7,1900,98122,47.604,-122.31,4292,"(47.604, -122.31)",2.3027
11128,253000.0,3,1.75,1570,7416,1.0,0.0,0.0,4,7,1971,98031,47.412,-122.174,7416,"(47.412, -122.174)",16.7059
11129,392500.0,4,2.75,2400,19923,1.0,0.0,0.0,5,7,1953,98042,47.362,-122.144,10736,"(47.362, -122.144)",20.4081
11130,605000.0,3,1.75,1930,5400,2.0,0.0,2.0,3,9,1978,98177,47.77,-122.391,6840,"(47.77, -122.391)",10.3947
11131,215000.0,3,1.0,1160,10384,1.0,0.0,0.0,4,6,1969,98038,47.363,-122.027,9880,"(47.363, -122.027)",23.4473
11132,650000.0,4,2.5,2820,15000,2.0,0.0,0.0,4,9,1985,98052,47.725,-122.101,15000,"(47.725, -122.101)",13.667
11133,877500.0,4,2.0,3060,8000,2.0,0.0,0.0,4,8,1922,98144,47.58,-122.29,5800,"(47.58, -122.29)",4.0797
11134,232500.0,3,1.0,1320,8450,1.0,0.0,0.0,3,6,1961,98023,47.328,-122.337,8450,"(47.328, -122.337)",20.3182
11135,234000.0,2,2.0,1200,3624,2.0,0.0,0.0,3,6,2003,98038,47.349,-122.025,2693,"(47.349, -122.025)",24.2533
11136,380000.0,3,1.75,1560,104108,1.0,0.0,0.0,3,7,1970,98042,47.402,-122.131,110957,"(47.402, -122.131)",18.3556
11138,399950.0,3,1.0,1040,9600,1.0,0.0,0.0,3,7,1978,98053,47.674,-122.063,10889,"(47.674, -122.063)",13.9119
11141,515000.0,3,2.0,1810,2738,2.0,0.0,0.0,4,9,1979,98008,47.611,-122.115,2754,"(47.611, -122.115)",11.05
11143,256000.0,3,2.5,1570,5113,1.0,0.0,0.0,3,7,1996,98001,47.333,-122.29,5150,"(47.333, -122.29)",20.168
11144,489900.0,3,1.0,1680,8910,1.0,0.0,0.0,4,7,1940,98117,47.701,-122.375,7182,"(47.701, -122.375)",5.5718
11145,165000.0,3,1.5,1250,7200,1.0,0.0,0.0,4,7,1978,98032,47.368,-122.282,7560,"(47.368, -122.282)",17.842
11147,575000.0,4,2.5,4620,20793,2.0,0.0,0.0,4,11,1991,98023,47.293,-122.342,20793,"(47.293, -122.342)",22.7293
11149,422250.0,3,1.75,1650,7145,2.0,0.0,0.0,5,8,1977,98155,47.773,-122.324,7206,"(47.773, -122.324)",10.5192
11150,420000.0,3,1.75,1660,9600,1.0,0.0,0.0,3,8,1981,98011,47.76,-122.167,9500,"(47.76, -122.167)",12.8389
11151,608000.0,4,2.5,2410,7140,2.0,0.0,0.0,3,8,1993,98074,47.633,-122.021,7140,"(47.633, -122.021)",15.4183
11152,620000.0,3,2.25,1720,4000,1.5,0.0,0.0,4,7,1921,98105,47.668,-122.286,4000,"(47.668, -122.286)",4.4158
11153,850000.0,3,2.5,3120,12406,2.0,0.0,2.0,3,9,1983,98006,47.551,-122.141,13141,"(47.551, -122.141)",10.9732
11154,463000.0,4,2.5,2680,9928,1.0,0.0,0.0,4,8,1974,98027,47.522,-122.052,10478,"(47.522, -122.052)",15.5826
11155,750000.0,5,1.75,2640,13290,1.0,1.0,4.0,4,8,1954,98178,47.502,-122.223,11942,"(47.502, -122.223)",10.2291
11156,1070000.0,3,3.25,3730,13264,2.0,0.0,0.0,3,9,1989,98077,47.725,-122.059,14933,"(47.725, -122.059)",15.3683
11157,290000.0,3,2.0,1700,6498,1.0,0.0,0.0,3,7,1986,98038,47.378,-122.044,6654,"(47.378, -122.044)",22.1423
11158,525000.0,4,1.75,2280,5959,1.0,0.0,0.0,3,7,1947,98116,47.566,-122.395,5911,"(47.566, -122.395)",4.3575
11159,319000.0,3,2.25,1220,2980,2.0,0.0,0.0,3,7,1986,98034,47.715,-122.203,2140,"(47.715, -122.203)",9.4471
11160,592500.0,6,4.5,3500,8504,2.0,0.0,0.0,3,7,1980,98155,47.735,-122.295,8460,"(47.735, -122.295)",8.2476
11161,350000.0,3,2.5,2010,14298,2.0,0.0,0.0,3,7,1977,98070,47.507,-122.472,14298,"(47.507, -122.472)",9.7201
11162,454900.0,3,1.75,2130,9775,1.0,0.0,0.0,4,8,1973,98027,47.533,-122.049,11250,"(47.533, -122.049)",15.3879
11164,357500.0,3,1.0,1070,10125,1.0,0.0,0.0,3,7,1961,98033,47.701,-122.167,10200,"(47.701, -122.167)",10.1855
11165,285000.0,3,1.75,1020,5000,1.0,0.0,0.0,5,6,1954,98118,47.533,-122.29,5000,"(47.533, -122.29)",6.7823
11166,280000.0,4,2.0,1600,6861,1.0,0.0,0.0,3,7,1994,98003,47.27,-122.313,7455,"(47.27, -122.313)",24.3811
11167,477000.0,4,1.5,1380,7800,1.0,0.0,0.0,3,7,1928,98125,47.709,-122.306,7503,"(47.709, -122.306)",6.3827
11168,750000.0,3,2.25,3270,168000,2.0,0.0,0.0,4,10,1982,98056,47.52,-122.191,7963,"(47.52, -122.191)",10.2804
11170,525000.0,3,2.25,2110,2850,3.0,0.0,0.0,3,8,2001,98103,47.691,-122.339,5001,"(47.691, -122.339)",4.8108
11171,319000.0,3,1.75,1640,53400,1.0,0.0,0.0,4,7,1966,98070,47.394,-122.506,380279,"(47.394, -122.506)",17.315
11172,225000.0,3,2.0,1320,5665,1.0,0.0,0.0,3,7,1986,98023,47.31,-122.357,7080,"(47.31, -122.357)",21.5517
11173,485000.0,4,2.5,2420,10603,1.0,0.0,0.0,5,7,1958,98028,47.74,-122.259,10800,"(47.74, -122.259)",9.2293
11174,341000.0,3,1.0,1390,4814,1.5,0.0,0.0,3,6,1908,98115,47.688,-122.32,3990,"(47.688, -122.32)",4.7995
11175,674000.0,3,3.25,2320,6744,2.0,0.0,0.0,3,9,2014,98125,47.713,-122.293,6744,"(47.713, -122.293)",6.8615
11176,442250.0,3,2.5,2170,8169,2.0,0.0,0.0,3,8,2003,98059,47.483,-122.139,6733,"(47.483, -122.139)",13.8016
11177,591000.0,4,2.25,2710,38180,2.0,0.0,0.0,4,8,1977,98077,47.77,-122.097,38180,"(47.77, -122.097)",15.6526
11180,355000.0,3,2.5,1810,3192,1.0,0.0,0.0,3,7,2001,98019,47.736,-121.969,3720,"(47.736, -121.969)",19.4704
11181,260000.0,3,2.5,1420,14850,1.0,0.0,0.0,4,7,1963,98032,47.366,-122.29,8800,"(47.366, -122.29)",17.9141
11182,300000.0,3,2.75,2090,9620,1.0,0.0,0.0,3,8,1987,98023,47.274,-122.337,9660,"(47.274, -122.337)",24.0474
11183,310000.0,3,2.75,2090,9620,1.0,0.0,0.0,3,8,1987,98023,47.274,-122.337,9660,"(47.274, -122.337)",24.0474
11184,209000.0,3,1.0,1330,6900,1.0,0.0,0.0,3,7,1976,98023,47.303,-122.381,7000,"(47.303, -122.381)",22.0764
11185,344950.0,3,2.0,1330,7419,1.0,0.0,0.0,3,7,1985,98034,47.732,-122.236,7297,"(47.732, -122.236)",9.3188
11186,230000.0,5,2.0,1910,7200,1.0,0.0,0.0,4,6,1951,98178,47.498,-122.261,5948,"(47.498, -122.261)",9.5482
11187,336950.0,3,1.75,2310,7680,1.0,0.0,0.0,4,8,1978,98032,47.374,-122.285,7680,"(47.374, -122.285)",17.409
11190,443500.0,4,2.5,2040,21781,2.0,0.0,0.0,3,8,1994,98014,47.646,-121.904,21781,"(47.646, -121.904)",20.9111
11191,471000.0,4,2.5,2040,21781,2.0,0.0,0.0,3,8,1994,98014,47.646,-121.904,21781,"(47.646, -121.904)",20.9111
11192,595000.0,3,2.25,2400,16301,1.0,0.0,0.0,3,8,1962,98115,47.69,-122.282,9828,"(47.69, -122.282)",5.7151
11193,470000.0,3,1.0,1400,4914,1.5,0.0,0.0,3,7,1929,98117,47.681,-122.364,3744,"(47.681, -122.364)",4.1234
11194,600000.0,4,1.75,1700,7800,1.0,0.0,0.0,4,8,1975,98052,47.651,-122.119,8342,"(47.651, -122.119)",11.0189
11195,1380000.0,4,3.75,3160,9525,2.5,0.0,0.0,3,10,1997,98040,47.562,-122.221,9525,"(47.562, -122.221)",7.3634
11196,427800.0,3,1.75,1340,13241,1.0,0.0,2.0,3,7,1985,98034,47.727,-122.213,9704,"(47.727, -122.213)",9.7145
11198,382000.0,3,1.75,1790,7679,1.0,0.0,0.0,4,7,1953,98133,47.744,-122.338,7680,"(47.744, -122.338)",8.4603
11199,577000.0,3,1.5,1560,20251,1.0,0.0,0.0,5,7,1989,98074,47.619,-122.054,19119,"(47.619, -122.054)",13.8658
11202,240000.0,3,1.0,1090,10000,1.0,0.0,0.0,3,6,1961,98014,47.65,-121.911,7500,"(47.65, -121.911)",20.6097
11203,1230000.0,5,3.25,3240,6551,1.5,0.0,4.0,4,9,1939,98115,47.679,-122.273,9300,"(47.679, -122.273)",5.3836
11204,435000.0,4,1.75,2520,7200,1.0,0.0,2.0,5,7,1955,98056,47.483,-122.192,7300,"(47.483, -122.192)",12.1476
11205,1450000.0,3,1.75,2230,13529,1.0,0.0,0.0,3,9,1949,98004,47.62,-122.217,11900,"(47.62, -122.217)",6.2745
11206,425000.0,4,3.0,2430,5502,2.0,0.0,0.0,3,8,2002,98038,47.356,-122.014,5702,"(47.356, -122.014)",24.2098
11207,393000.0,2,1.0,1020,4200,1.0,0.0,0.0,5,6,1923,98136,47.532,-122.391,4200,"(47.532, -122.391)",6.476
11208,264950.0,4,1.0,1810,7500,1.0,0.0,0.0,2,7,1959,98168,47.493,-122.333,6255,"(47.493, -122.333)",8.9487
11210,450000.0,3,1.0,2020,8100,1.0,0.0,0.0,3,7,1956,98125,47.714,-122.288,7620,"(47.714, -122.288)",7.0199
11214,1400000.0,4,3.5,4380,66613,1.5,0.0,0.0,3,11,1993,98077,47.728,-122.048,70109,"(47.728, -122.048)",15.9176
11215,753000.0,3,2.25,2290,9047,2.0,0.0,0.0,4,8,1984,98006,47.554,-122.163,9275,"(47.554, -122.163)",9.9667
11216,310000.0,2,1.0,720,5750,1.0,0.0,0.0,2,6,1943,98136,47.553,-122.393,6125,"(47.553, -122.393)",5.1349
11217,395000.0,2,1.0,1200,6014,1.0,0.0,0.0,4,6,1949,98118,47.536,-122.28,4652,"(47.536, -122.28)",6.8113
11219,295000.0,4,3.0,2120,7650,2.0,0.0,0.0,3,8,1964,98007,47.621,-122.14,7885,"(47.621, -122.14)",9.8592
11220,225000.0,3,1.75,1580,8820,1.0,0.0,0.0,4,7,1967,98003,47.317,-122.325,8500,"(47.317, -122.325)",21.1035
11223,358500.0,3,2.5,2000,8057,1.0,0.0,0.0,3,8,1998,98042,47.372,-122.107,8964,"(47.372, -122.107)",20.703
11224,595000.0,2,1.0,980,3600,1.0,0.0,0.0,3,6,1907,98119,47.637,-122.365,3600,"(47.637, -122.365)",1.2133
11225,468000.0,4,2.5,3040,20682,2.0,0.0,0.0,3,7,2000,98019,47.724,-121.959,9742,"(47.724, -121.959)",19.5849
11229,403900.0,4,2.5,2050,8909,1.0,0.0,2.0,4,8,1986,98198,47.398,-122.31,8912,"(47.398, -122.31)",15.5919
11230,269950.0,3,1.75,1760,12823,1.0,0.0,0.0,4,7,1956,98002,47.287,-122.21,10800,"(47.287, -122.21)",24.0678
11231,640000.0,3,3.5,1740,1975,2.0,0.0,3.0,3,8,1998,98122,47.608,-122.311,1975,"(47.608, -122.311)",2.1251
11233,255000.0,3,1.75,1700,7532,1.0,0.0,0.0,3,7,1987,98030,47.355,-122.176,7405,"(47.355, -122.176)",20.1833
11234,300000.0,4,2.5,2620,4469,2.0,0.0,0.0,3,7,2008,98042,47.366,-122.115,4500,"(47.366, -122.115)",20.85
11235,270000.0,3,2.25,1500,7410,1.0,0.0,0.0,4,7,1973,98058,47.46,-122.162,7990,"(47.46, -122.162)",14.2625
11236,575000.0,4,1.75,1630,5750,1.0,0.0,0.0,3,7,1947,98116,47.567,-122.384,5750,"(47.567, -122.384)",4.0809
11237,246900.0,3,1.5,1370,9800,1.0,0.0,0.0,5,7,1968,98001,47.307,-122.27,9800,"(47.307, -122.27)",22.0897
11238,635000.0,2,2.5,1390,1132,2.0,0.0,0.0,3,8,2006,98102,47.623,-122.319,1237,"(47.623, -122.319)",1.5247
11239,450000.0,3,2.0,1540,67756,1.0,0.0,0.0,3,7,1900,98077,47.721,-122.078,67756,"(47.721, -122.078)",14.4583
11240,215000.0,3,1.0,1190,7500,1.0,0.0,0.0,5,7,1968,98042,47.325,-122.142,9750,"(47.325, -122.142)",22.7317
11241,785000.0,3,3.5,4500,21870,2.0,0.0,0.0,3,10,2004,98092,47.304,-122.159,23058,"(47.304, -122.159)",23.7376
11242,522500.0,4,3.0,2370,8154,1.0,0.0,0.0,3,7,1977,98125,47.726,-122.306,8148,"(47.726, -122.306)",7.5003
11243,150000.0,2,1.5,1360,1934,2.0,0.0,0.0,4,7,1978,98092,47.286,-122.189,1898,"(47.286, -122.189)",24.4216
11244,199950.0,2,1.75,870,18537,1.0,0.0,0.0,4,6,1946,98001,47.275,-122.278,22800,"(47.275, -122.278)",24.2146
11246,379900.0,3,2.0,3110,44967,2.0,0.0,0.0,3,9,1999,98058,47.434,-122.082,44967,"(47.434, -122.082)",18.0795
11247,950000.0,4,2.5,3700,7051,2.0,0.0,0.0,3,11,2006,98029,47.543,-121.995,6175,"(47.543, -121.995)",17.4952
11248,865000.0,6,2.75,3500,5150,2.0,0.0,0.0,5,8,1909,98117,47.684,-122.363,3860,"(47.684, -122.363)",4.3228
11249,785000.0,3,1.75,1670,9600,1.0,0.0,0.0,5,8,1961,98040,47.575,-122.233,9600,"(47.575, -122.233)",6.4098
11250,245700.0,3,2.25,1640,8400,1.0,0.0,0.0,3,8,1968,98032,47.373,-122.289,8120,"(47.373, -122.289)",17.4446
11251,951000.0,3,2.25,3400,12825,1.0,0.0,1.0,3,9,1961,98118,47.544,-122.26,11574,"(47.544, -122.26)",6.8727
11253,257000.0,3,1.75,1330,36537,1.0,0.0,0.0,4,7,1989,98092,47.313,-122.129,35100,"(47.313, -122.129)",23.7428
11255,1600000.0,3,2.75,3040,21052,2.0,0.0,0.0,4,10,1980,98004,47.638,-122.225,21052,"(47.638, -122.225)",6.0035
11256,1400000.0,5,3.75,3700,7920,3.0,0.0,4.0,3,9,1983,98115,47.687,-122.266,6360,"(47.687, -122.266)",6.0117
11257,619000.0,3,2.0,1990,3000,1.5,0.0,2.0,5,8,1927,98144,47.589,-122.293,5000,"(47.589, -122.293)",3.556
11258,311000.0,5,3.0,2020,5917,1.0,0.0,0.0,3,7,1993,98108,47.548,-122.294,5529,"(47.548, -122.294)",5.7708
11260,1080000.0,4,3.5,3990,5267,2.0,0.0,0.0,3,10,2008,98006,47.564,-122.124,6481,"(47.564, -122.124)",11.3391
11262,205000.0,2,1.0,1060,8000,1.0,0.0,0.0,3,6,1941,98168,47.509,-122.333,8000,"(47.509, -122.333)",7.8492
11263,514000.0,3,2.25,2260,54014,1.0,0.0,0.0,3,7,1962,98072,47.766,-122.131,44431,"(47.766, -122.131)",14.2995
11264,530000.0,2,2.5,1900,2983,2.0,0.0,0.0,3,8,2006,98053,47.703,-122.015,3876,"(47.703, -122.015)",16.6399
11265,511000.0,5,2.5,3361,6983,2.0,0.0,0.0,3,10,2006,98092,47.343,-122.169,6920,"(47.343, -122.169)",21.0741
11268,500000.0,4,1.75,2040,6000,1.0,0.0,0.0,5,7,1943,98136,47.551,-122.383,6000,"(47.551, -122.383)",5.1113
11270,270000.0,1,1.0,720,5196,1.0,0.0,0.0,3,7,1911,98103,47.693,-122.337,5762,"(47.693, -122.337)",4.9599
11271,415000.0,3,1.75,2000,8400,1.5,0.0,0.0,4,8,1959,98133,47.754,-122.334,8400,"(47.754, -122.334)",9.1643
11273,236000.0,3,1.75,1300,8976,1.0,0.0,0.0,3,7,1967,98003,47.336,-122.305,9750,"(47.336, -122.305)",19.8738
11275,312000.0,3,2.25,1540,5338,1.0,0.0,0.0,5,7,1954,98115,47.694,-122.304,6525,"(47.694, -122.304)",5.4539
11276,539000.0,3,2.25,1540,5338,1.0,0.0,0.0,5,7,1954,98115,47.694,-122.304,6525,"(47.694, -122.304)",5.4539
11280,650000.0,3,2.0,2300,5000,1.0,0.0,0.0,4,8,1938,98199,47.652,-122.413,5000,"(47.652, -122.413)",3.5313
11281,559500.0,4,1.75,1650,7088,1.0,0.0,0.0,3,8,1973,98027,47.569,-122.087,7523,"(47.569, -122.087)",12.8636
11282,219950.0,2,1.0,990,6448,1.0,0.0,0.0,3,7,1948,98178,47.503,-122.245,7200,"(47.503, -122.245)",9.604
11283,671500.0,4,2.25,2130,8410,2.0,0.0,0.0,4,8,1977,98006,47.559,-122.128,8400,"(47.559, -122.128)",11.2937
11284,813000.0,4,2.5,3320,52707,2.0,0.0,0.0,3,10,1999,98074,47.625,-122.016,54450,"(47.625, -122.016)",15.6347
11285,182000.0,3,2.25,1960,8875,1.0,0.0,0.0,3,7,1965,98003,47.334,-122.301,8700,"(47.334, -122.301)",20.0324
11286,203700.0,2,1.0,770,2500,1.0,0.0,0.0,3,6,1913,98072,47.753,-122.172,8286,"(47.753, -122.172)",12.3251
11287,740000.0,4,1.75,2010,3600,1.5,0.0,0.0,3,7,1902,98119,47.634,-122.371,3600,"(47.634, -122.371)",1.2274
11288,230000.0,2,1.0,800,17965,1.0,0.0,0.0,4,5,1942,98058,47.469,-122.161,8925,"(47.469, -122.161)",13.8097
11289,128000.0,3,1.0,910,11117,1.0,0.0,0.0,3,7,1955,98003,47.343,-122.309,8416,"(47.343, -122.309)",19.373
11290,345000.0,3,1.0,1200,6628,1.0,0.0,0.0,4,7,1952,98155,47.737,-122.319,6768,"(47.737, -122.319)",8.0968
11291,663000.0,4,2.5,3570,6246,2.0,0.0,0.0,3,7,2005,98075,47.593,-122.006,5231,"(47.593, -122.006)",16.2271
11293,1050000.0,3,2.25,2930,7005,3.0,0.0,2.0,3,9,1999,98117,47.676,-122.404,6460,"(47.676, -122.404)",4.4608
11294,402300.0,3,1.75,1480,4050,1.0,0.0,0.0,3,7,1926,98115,47.681,-122.304,4500,"(47.681, -122.304)",4.6479
11295,492000.0,4,2.5,3305,16164,1.5,0.0,0.0,5,7,1922,98133,47.756,-122.338,8883,"(47.756, -122.338)",9.2873
11296,448000.0,4,2.5,2230,5000,1.0,0.0,0.0,3,7,2006,98059,47.48,-122.129,4637,"(47.48, -122.129)",14.2821
11298,335000.0,3,1.0,1030,7200,1.0,0.0,0.0,3,6,1948,98126,47.526,-122.376,7200,"(47.526, -122.376)",6.7222
11300,279000.0,3,1.0,1010,7903,1.0,0.0,0.0,3,6,1948,98155,47.766,-122.32,7903,"(47.766, -122.32)",10.0649
11302,383000.0,4,2.5,2370,10580,2.0,0.0,0.0,3,8,1966,98055,47.464,-122.192,8584,"(47.464, -122.192)",13.21
11304,240000.0,2,1.5,1078,1263,2.0,0.0,0.0,3,7,1990,98028,47.753,-122.244,1263,"(47.753, -122.244)",10.351
11306,524950.0,3,1.5,2700,24539,2.0,0.0,0.0,3,7,1977,98019,47.735,-121.984,11000,"(47.735, -121.984)",18.8058
11307,729000.0,4,2.5,2450,27081,2.0,0.0,0.0,3,8,1985,98052,47.718,-122.104,12025,"(47.718, -122.104)",13.3008
11308,460000.0,3,1.75,1420,8250,1.0,0.0,0.0,4,7,1960,98007,47.611,-122.133,8250,"(47.611, -122.133)",10.2138
11311,825000.0,4,2.25,2430,10050,2.0,0.0,0.0,4,8,1979,98006,47.556,-122.163,10250,"(47.556, -122.163)",9.9023
11313,470000.0,3,2.0,1800,12669,1.0,0.0,0.0,3,7,1956,98033,47.694,-122.173,9775,"(47.694, -122.173)",9.6943
11315,313000.0,3,1.5,1550,7260,1.5,0.0,0.0,2,6,1925,98166,47.469,-122.349,7620,"(47.469, -122.349)",10.5651
11316,445000.0,2,1.0,840,3840,1.0,0.0,0.0,4,7,1926,98117,47.684,-122.378,3840,"(47.684, -122.378)",4.4619
11319,305000.0,3,1.5,1210,5240,1.0,0.0,0.0,4,7,1983,98106,47.552,-122.356,5240,"(47.552, -122.356)",4.8338
